STOCK,Score
NCC,0.9197
SATIN,0.9065
MANAPPURAM,0.9062
EXCEL,0.8689
SPARC,0.8658
MASTEK,0.8271
ERIS,0.8056
QUESS,0.8056
GRANULES,0.7906
INTELLECT,0.7695
IRCTC,0.7579
NH,0.7297
SUBROS,0.6874
DRL,0.6808
JUBILANT,0.6789400000000002
BIL,0.656
BANG,0.6369
TCI,0.6369
INNOVATIVE,0.62314
VARROC,0.6166
UFLEX,0.6166
ALLCARGO,0.6124
WEALTH,0.5982857142857143
NDTV,0.5928
BHANDARI,0.5904
APOLLO,0.5727
KITEX,0.5622
TRENT,0.5573
LUPIN,0.55365
CIPLA,0.5448500000000001
PRESTIGE,0.53925
UBL,0.53205
UPL,0.527625
BRIGHT,0.5244666666666667
TECHM,0.52395
WORTH,0.5010261538461539
PERFECT,0.49666666666666665
IGL,0.4951
PSL,0.4939
BRITANNIA,0.4466
LASA,0.4466
SEQUENT,0.4466
CANTABIL,0.4466
HAL,0.4415833333333334
GNA,0.4404
POWERFUL,0.43946666666666667
INFY,0.419425
SUZLON,0.4084
ACE,0.4076
INDIGO,0.4004714285714286
DABUR,0.3812666666666667
BIOCON,0.3765714285714286
RITES,0.370425
RALLIS,0.368
DEN,0.36345
SAIL,0.3612
ESCORTS,0.3608285714285714
IIFL,0.3510733333333334
NMDC,0.3480066666666667
AFFLE,0.34458
FEL,0.3387
SPANDANA,0.33799999999999997
KEC,0.3351
HAVELLS,0.32615
MINDTREE,0.31445
PAR,0.31245
WHEELS,0.31004
HDFC,0.30636499999999994
WIPRO,0.3034
ACC,0.30227499999999996
GLOBE,0.30206
APEX,0.29567999999999994
COROMANDEL,0.2883
PREMIER,0.2832555555555556
PNC,0.27754285714285715
SOBHA,0.2732
TITAN,0.26595
RBL,0.26315
SRF,0.2553
INFRATEL,0.24619642857142862
SCHNEIDER,0.24554285714285712
CELEBRITY,0.23775000000000002
GAIL,0.2362
IDEA,0.22938962264150936
FACT,0.2139333333333333
STAR,0.21038571428571431
POWERGRID,0.2103
DLF,0.2023
MARUTI,0.18598888888888887
DHFL,0.18411666666666668
EDELWEISS,0.1819714285714286
RELIANCE,0.18067536231884054
SANOFI,0.18043333333333333
MAJESCO,0.1735
PFIZER,0.17163333333333333
DIXON,0.17020000000000002
ABB,0.1591
SADBHAV,0.1579
PNB,0.15493333333333334
MOIL,0.1531
