,Symbol,Open,High,Close,VWAP,Volume,Trades,Deliverable Volume,%Deliverble,monthly_growth_%,firstWeek_growth_%,secondWeek_growth_%,thirdWeek_growth_%,fourthWeek_growth_%,Date,Low,monthly_TradeAvg,1stWeek_Trade(%),2ndWeek_Trade(%),3rdWeek_Trade(%),4thWeek_Trade(%)
19,ITC,217.95,218.6,215.9,216.6,26990063,160180,8649787,0.32049999999999995,15.052631578947365,1.6367476240760266,-0.35632476457113194,3.768780239368478,6.790425012212998,2020-12-14,215.0,158612.55,-4.338591114007049,-4.184914749810144,-20.464931684157392,37.07061641717508
19,KOTAKBANK,1934.0,1946.9,1939.35,1923.53,3456971,112465,1701387,0.4922,9.684507042253527,5.732519422863482,-1.1932867994251692,-3.83419689119171,5.867319195214796,2020-12-14,1899.0,202383.95,7.889780785482245,59.70720504269236,-1.8514066950467225,-35.273918707486445
19,HINDUNILVR,2380.95,2391.4,2370.75,2376.15,1575632,105773,797372,0.5061,8.848429676832048,-3.618798838021029,0.3007866728366497,4.65956461324687,4.968835045211144,2020-12-14,2356.15,120211.3,6.106497475694878,-5.556299615759919,20.221310309430145,-4.773012187706145
19,ICICIBANK,518.1,527.8,525.8,523.51,26369591,292263,11211522,0.4252,7.747269572318043,-1.957403651115614,-0.09374999999999763,5.547594677584447,3.085937499999991,2020-12-14,518.1,247847.55,18.061445432888096,6.16011737860633,2.062336303102456,-9.733140392148309
19,ASIANPAINT,2530.0,2553.9,2548.15,2538.98,1280339,69794,432932,0.3381,16.435670648308562,-1.1229128223592544,0.6095921111609103,8.958241758241767,2.8057322276789423,2020-12-14,2521.0,92698.05,2.5864082362034613,23.718082527086594,3.961841700014189,-7.812084504474483
19,SBIN,274.0,276.15,274.2,274.69,31946501,200577,8886488,0.2782,18.570201803349065,1.8832781456953689,0.5102040816326531,9.037959429604339,0.8951406649616326,2020-12-14,272.35,272928.5,35.74023965983765,-7.581839199643863,2.5351328278285252,-17.597466003000786
19,INFY,1169.4,1172.6,1164.55,1159.72,6728187,186990,3574438,0.5313,2.8912385381476606,-0.017467248908300915,-2.9353190752446174,1.118175838631879,0.47986289631533074,2020-12-14,1148.2,199767.4,-6.077468095394939,5.469160633817132,-3.331774854155377,20.862763393827024
19,RELIANCE,2007.95,2015.0,1991.3,1997.46,7989830,248928,2832392,0.35450000000000004,-0.014886121173024092,-5.515587529976019,-0.9067882472137837,-0.06357279084551812,0.037234702742956434,2020-12-14,1986.35,334821.4,47.741094207240025,-2.9425090510941123,-20.379999605759973,-10.94959880103244
19,TCS,2802.0,2804.0,2797.7,2787.4,2483658,112781,1487586,0.5989,4.276682781703236,1.2987012987012987,-0.9223477943857157,0.29606345261156874,-0.05524763415373748,2020-12-14,2756.25,133410.85,7.709830197468946,9.434689907155223,-7.860117824000072,9.524825004862793
19,HDFCBANK,1383.0,1388.0,1372.15,1376.22,8611025,226700,4356567,0.5059,0.9491254227426419,0.7822455047430399,0.06920415224913494,-4.765355417529327,-0.057603686635941426,2020-12-14,1368.0,247263.85,2.0522005137427106,10.85809753427361,10.77494749030237,-3.999391742869011
19,BHARTIARTL,507.0,512.0,503.05,504.79,13886923,162325,5284910,0.38060000000000005,5.133470225872689,-1.6567330033336678,-1.7870129870129918,5.803108808290156,-0.8232445520581114,2020-12-14,501.15,163984.15,-6.916369661336172,0.10113782338110472,28.279958764307402,-9.191833479028306
19,HDFC,2306.7,2315.65,2302.65,2292.85,3160235,130954,1884770,0.5964,-0.5881469079356825,-0.7146632836452095,0.008801848388153509,-0.6153184165232436,-1.040598290598287,2020-12-14,2270.55,161908.6,6.6060728089798735,30.460179385159275,6.307632824939506,-19.65689283954034
