,Symbol,Open,High,Close,VWAP,Volume,Trades,Deliverable Volume,%Deliverble,Date,Low,Week_growth_%,Week_TradeAvg
6,YESBANK,17.8,18.45,18.3,17.91,446734713,296833,138444648,0.3099,2020-12-15,17.6,16.403785488958988,322221.28571428574
6,PNB,41.25,41.3,40.6,40.37,56929480,75228,11866747,0.2084,2020-12-15,39.7,13.461538461538458,124229.71428571429
6,BANKBARODA,67.15,68.1,67.15,66.57,43111626,72643,6462710,0.1499,2020-12-15,65.5,11.639344262295074,119865.28571428571
6,VEDL,145.75,147.25,145.75,145.07,22035135,75173,6044783,0.2743,2020-12-15,142.85,10.299625468164795,104845.14285714286
6,NAUKRI,4660.0,4726.8,4639.05,4659.86,620457,43568,174653,0.2815,2020-12-15,4616.0,9.056930264751692,47320.28571428572
6,ONGC,102.5,102.5,100.45,100.24,33553433,110126,5778566,0.1722,2020-12-15,99.2,9.042553191489363,163863.85714285713
6,LT,1250.0,1252.0,1246.25,1234.66,6953407,166723,3106728,0.44680000000000003,2020-12-15,1216.1,6.835054185510701,150088.2857142857
6,NMDC,117.15,117.7,114.95,114.51,10728101,35222,2808995,0.2618,2020-12-15,113.0,6.275395033860049,39806.71428571428
6,ITC,215.25,216.4,213.55,213.41,23255609,158242,6911697,0.2972,2020-12-15,211.6,6.208588957055217,205667.57142857142
6,DMART,2672.0,2688.9,2640.05,2649.58,257299,22421,79371,0.3085,2020-12-15,2624.5,5.8413698090927015,57192.142857142855
6,KOTAKBANK,1948.0,1958.0,1951.15,1942.2,4141898,149161,1479561,0.3572,2020-12-15,1919.3,5.495689655172414,151851.85714285713
6,COALINDIA,143.65,144.35,143.1,143.04,18775793,82580,3792947,0.20199999999999999,2020-12-15,140.8,5.211370262390675,97865.57142857143
6,NTPC,105.1,106.4,105.85,104.91,52215593,108444,16649229,0.3189,2020-12-15,102.85,5.190311418685121,95726.0
6,UBL,1160.0,1165.8,1158.55,1155.34,339065,18435,86420,0.2549,2020-12-15,1142.05,4.753347111151034,39053.857142857145
